Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
2/10/2026 0:24:36,Yes,Urban,Yangon,36-50,"More than 1,000,000",Postgraduate,6-10,"Plastic bags, Plastic containers, Food sachets","Local markets, Street Vendors, Food Delivery, Online Delivery",3-5,Always,About the same,Reuse,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,No,Less than half (1%-25%),Yes,More than 75%,Pollutes soil/water
2/10/2026 3:44:52,Yes,Urban,Yangon,26-35,Prefer not to say,University/College,More than 10,"Plastic bags, Bottled water, Plastic straws, Food sachets","Local markets, Street Vendors, Coffee/tea shops",More than 10,Always,About the same,"Throw in bin, Reuse","Although some plastic trash end up in landfills, some trash like plastic bottles and containers could be collected by some people for extra money and then, recycled.",Very aware,Not Sure,Already visible now,Support,Yes,Less than half (1%-25%),Yes,Not sure,Release GHG
2/10/2026 4:49:33,Yes,Urban,Bago,36-50,"More than 1,000,000",Postgraduate,3-5,"Plastic bags, Plastic containers, Food sachets","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",6-10,Always,About the same,"Throw in bin, Reuse",I don’t know,Neutral,Not Sure,Not sure,Strongly support,No,Not applicable,Not sure,Not sure,Increases the Earth’s temperature
2/10/2026 10:23:09,Yes,Urban,Ayeyarwady,26-35,Prefer not to say,Postgraduate,6-10,"Plastic bags, Bottled water, Plastic containers, Plastic straws, Disposable forks, Food sachets","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",3-5,Always,About the same,"Throw in bin, Recycle, Reuse",Burned,Somewhat aware,Yes,Within 6-10 years,Strongly support,Yes,More than half (51%-75%),Yes,25%-50%,Release GHG
2/10/2026 10:26:22,Yes,Urban,Bago,26-35,"300,000-600,000",Postgraduate,3-5,,Supermarkets,3-5,Sometimes,Less than others,Recycle,Burned,Slightly aware,Yes,More than 10 years,Neutral,Yes,Almost all of it (76%-100%),No,More than 75%,Pollutes soil/water
2/10/2026 12:22:03,Yes,Rural,Sagaing,26-35,"300,000-600,000",University/College,3-5,Plastic bags,Street Vendors,0,Always,Less than others,Recycle,Burned,Very aware,Yes,Not sure,Strongly support,Yes,More than half (51%-75%),Yes,51%-75%,Release GHG
2/10/2026 16:33:41,Yes,Urban,Yangon,18-25,Prefer not to say,Postgraduate,More than 10,"Plastic bags, Plastic straws","Local markets, Street Vendors",6-10,Always,Much more plastic than others,"Throw in bin, Reuse",Ends up in landfills,Somewhat aware,Yes,Already visible now,Strongly support,No,About half (26%-50%),Yes,51%-75%,Pollutes soil/water
2/10/2026 19:12:20,Yes,Prefer not to say,Magway,26-35,Prefer not to say,University/College,3-5,"Plastic bags, Bottled water, Food sachets",Local markets,1-2,Always,Much more plastic than others,"Throw in bin, Burn",Burned,Neutral,Not Sure,Not sure,Strongly support,Yes,About half (26%-50%),Not sure,Not sure,Not sure
2/10/2026 21:26:43,Yes,Urban,Yangon,26-35,Prefer not to say,University/College,6-10,Food sachets,,6-10,Always,Much less than others,"Recycle, Reuse",Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,Not applicable,No,51%-75%,Release GHG
2/11/2026 10:12:44,Yes,Urban,Sagaing,18-25,"300,000-600,000",Postgraduate,1-2,Plastic bags,Local markets,3-5,Always,A little more,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Within 6-10 years,Strongly support,No,About half (26%-50%),Not sure,51%-75%,Increases the Earth’s temperature
2/11/2026 11:04:55,Yes,Urban,Yangon,18-25,"More than 1,000,000",University/College,3-5,"Plastic bags, Plastic containers","Supermarkets, Food Delivery",6-10,Always,Less than others,Reuse,Ends up in landfills,Very aware,Yes,More than 10 years,Strongly support,No,About half (26%-50%),No,25%-50%,Increases the Earth’s temperature
2/12/2026 9:05:19,Yes,Prefer not to say,Sagaing,26-35,"600,001-1,000,000",University/College,1-2,Plastic bags,Supermarkets,1-2,Always,A little more,Recycle,Recycled,Somewhat aware,Yes,Within 3-5 years,Strongly support,Yes,Almost all of it (76%-100%),No,51%-75%,Increases the Earth’s temperature
2/12/2026 14:09:38,Yes,,Mandalay,18-25,"300,000-600,000",High school,1-2,Plastic bags,Local markets,1-2,Sometimes,A little more,Recycle,I don’t know,Not aware,Yes,Not sure,Support,Yes,Almost all of it (76%-100%),Yes,Less than 25%,Pollutes soil/water
